"X","Grupo","IdEvaluado","IdEvaluador","Criterio","Calificacion","Comentario","Sentimiento","Relevancia"
"95","GRUPO 4","10","10","Completo","3"," ","0",""
"96","GRUPO 4","11","11","Completo","3"," ","0",""
"97","GRUPO 4","12","12","Completo","2","No presentó completos los datos.","-1",""
"98","GRUPO 4","13","13","Completo","3"," ","0",""
"99","GRUPO 4","14","14","Completo","3"," ","0",""
"100","GRUPO 4","15","15","Completo","3"," ","",""
"101","GRUPO 4","16","16","Completo","2","Le falta contenido","-1",""
"102","GRUPO 4","17","19","Completo","2"," ","",""
"103","GRUPO 4","18","20","Completo","4"," ","",""
"104","GRUPO 4","19","21","Completo","3"," ","",""
"105","GRUPO 4","20","22","Completo","2","No entendí","-1",""
"106","GRUPO 4","21","23","Completo","2","No está completo","-1",""
"107","GRUPO 4","22","24","Completo","3"," ","0",""
"108","GRUPO 4","23","25","Completo","2","El programa presentado solo en imágenes.","-1",""
"109","GRUPO 4","24","26","Completo","2"," ","0",""
"110","GRUPO 4","25","27","Completo","3"," ","0",""
"111","GRUPO 4","26","28","Completo","3"," ","0",""
"112","GRUPO 4","27","29","Completo","3"," ","0",""
"113","GRUPO 4","28","31","Completo","3"," ","0",""
"114","GRUPO 4","29","34","Completo","2","Faltó la explicación","-1",""
"115","GRUPO 4","30","35","Completo","3"," ","0",""
"116","GRUPO 4","31","37","Completo","4","Entendí el tema tratado","1",""
"117","GRUPO 4","32","0","Completo","0"," ","0",""
"118","GRUPO 6","1","5","Completo","3"," ","0",""
"119","GRUPO 6","2","6","Completo","4","Si tiene la simulación","1",""
"120","GRUPO 6","3","7","Completo","3","Se entendió al principio pero luego se quedaron o congelaron","0",""
"121","GRUPO 6","4","8","Completo","3"," ","0",""
"122","GRUPO 6","5","9","Completo","2"," ","0",""
"123","GRUPO 6","6","10","Completo","3"," ","0",""
"124","GRUPO 6","7","13","Completo","1"," ","0",""
"125","GRUPO 6","8","14","Completo","3","El proyecto fue bastante entendible","1",""
"126","GRUPO 6","9","16","Completo","2"," ","0",""
"127","GRUPO 6","10","17","Completo","3"," ","0",""
"128","GRUPO 6","11","18","Completo","2"," ","0",""
"129","GRUPO 6","12","19","Completo","3"," ","0",""
"130","GRUPO 6","13","20","Completo","3","No se mostro todo el contenido pero si se logro entender","0",""
"131","GRUPO 6","14","23","Completo","3","falto mas contenido","-1",""
"132","GRUPO 6","15","25","Completo","4","Cuenta con material de apoyo","1",""
"133","GRUPO 6","16","26","Completo","3"," ","0",""
"134","GRUPO 6","17","27","Completo","4","Me gusto","1",""
"135","GRUPO 6","18","30","Completo","3","Tiene su código y texto","1",""
"136","GRUPO 6","19","31","Completo","3"," ","0",""
"137","GRUPO 6","20","32","Completo","2"," ","0",""
"138","GRUPO 6","21","0","Completo","0"," ","0",""
"139","GRUPO 6","22","0","Completo","0"," ","0",""
"140","GRUPO 7","1","1","Completo","3"," ","0",""
"141","GRUPO 7","2","2","Completo","4","SUS PROYECCIONES EN EL CONTENIDO ES MUY TECNICA Y PERMITE CONCRETAR UN CONOCIMIENTO","1",""
"142","GRUPO 7","3","4","Completo","3"," ","0",""
"143","GRUPO 7","4","5","Completo","4"," ","0",""
"144","GRUPO 7","5","6","Completo","4"," ","0",""
"145","GRUPO 7","6","8","Completo","3","FALTA MAS ESPECIFICACIONES","-1",""
"146","GRUPO 7","7","9","Completo","3"," ","0",""
"147","GRUPO 7","8","10","Completo","3"," ","0",""
"148","GRUPO 7","9","11","Completo","4"," ","0",""
"149","GRUPO 7","10","12","Completo","3"," ","0",""
"150","GRUPO 7","11","13","Completo","3","EL PROYECTO NO ESTA DE ACUERDO A LOS LIMITES","-1",""
"151","GRUPO 7","12","14","Completo","3","EL CONTENIDO ES CLARO","1",""
"152","GRUPO 7","13","15","Completo","3"," ","0",""
"153","GRUPO 7","14","16","Completo","3","FLUIDEZ DE PALABRAS","1",""
"154","GRUPO 7","15","17","Completo","3","SE ENTIENDE UN 80%","1",""
"155","GRUPO 7","16","19","Completo","3"," ","0",""
"156","GRUPO 7","17","20","Completo","4","BUEN TRABAJO","1",""
"157","GRUPO 7","18","21","Completo","3"," ","0",""
"158","GRUPO 7","19","22","Completo","2"," ","0",""
"159","GRUPO 7","20","23","Completo","4"," ","0",""
"160","GRUPO 7","21","24","Completo","3","MUY CLARA Y ENTENDIBLE LA INFORMACIO","1",""
"161","GRUPO 7","22","25","Completo","3","MEDIAMENTE COMPLETO","0",""
"162","GRUPO 7","23","26","Completo","3"," ","0",""
"163","GRUPO 7","24","27","Completo","3"," ","0",""
"164","GRUPO 7","25","28","Completo","4"," ","0",""
"165","GRUPO 7","26","29","Completo","4"," ","0",""
"166","GRUPO 7","27","30","Completo","3"," ","0",""
"167","GRUPO 7","28","31","Completo","4"," ","0",""
"168","GRUPO 7","29","32","Completo","4"," ","0",""
"169","GRUPO 7","30","33","Completo","3"," ","0",""
"170","GRUPO 7","31","34","Completo","3"," ","0",""
"171","GRUPO 7","32","35","Completo","3"," ","0",""
"172","GRUPO 7","33","36","Completo","3"," ","0",""
"173","GRUPO 7","34","37","Completo","4"," ","0",""
"174","GRUPO 7","35","38","Completo","4"," ","0",""
"175","GRUPO 8","1","1","Completo","3","LA EXPLICACION FUE CLARA","1",""
"176","GRUPO 8","2","2","Completo","3","LA FORMA QUE SE PROYECTO LA INFORMACION PROFUNDIZO CONOCIMIENTOS","1",""
"177","GRUPO 8","3","3","Completo","3","EXPLICACION DE MANERA EFICIENTE","1",""
"178","GRUPO 8","4","4","Completo","3"," ","0",""
"179","GRUPO 8","5","5","Completo","3"," ","0",""
"180","GRUPO 8","6","6","Completo","4"," ","0",""
"181","GRUPO 8","7","7","Completo","1","NO ENTENDI","-1",""
"182","GRUPO 8","8","8","Completo","3"," ","0",""
"183","GRUPO 8","9","9","Completo","2"," ","0",""
"184","GRUPO 8","10","10","Completo","3"," ","0",""
"185","GRUPO 8","11","11","Completo","4"," ","0",""
"186","GRUPO 8","12","12","Completo","2"," ","0",""
"187","GRUPO 8","13","13","Completo","3"," ","0",""
"188","GRUPO 8","14","14","Completo","3","CONTENIDO UN POCO INCOMPLETO","-1",""
"189","GRUPO 8","15","15","Completo","3"," ","0",""
"190","GRUPO 8","16","16","Completo","3","MAS FLUIDEZ SOBRE EL TEMA","0",""
"191","GRUPO 8","17","17","Completo","2"," ","0",""
"192","GRUPO 8","18","19","Completo","3"," ","0",""
"193","GRUPO 8","19","20","Completo","4"," ","0",""
"194","GRUPO 8","20","21","Completo","2"," ","0",""
"195","GRUPO 8","21","22","Completo","2"," ","0",""
"196","GRUPO 8","22","23","Completo","3"," ","0",""
"197","GRUPO 8","23","24","Completo","3","LE FALTA ALZAR UN POQUITO MAS LA VOZ PARA QUE SEA MAS CLARA","0",""
"198","GRUPO 8","24","25","Completo","3","DIFICIL Comprensión","-1",""
"199","GRUPO 8","25","26","Completo","3"," ","",""
"200","GRUPO 8","26","27","Completo","3"," ","",""
"201","GRUPO 8","27","28","Completo","4"," ","",""
"202","GRUPO 8","28","29","Completo","2"," ","",""
"203","GRUPO 8","29","30","Completo","3"," ","",""
"204","GRUPO 8","30","32","Completo","3"," ","",""
"205","GRUPO 8","31","33","Completo","2"," ","",""
"206","GRUPO 8","32","34","Completo","3"," ","",""
"207","GRUPO 8","33","35","Completo","3"," ","",""
"208","GRUPO 8","34","36","Completo","3"," ","",""
"209","GRUPO 8","35","37","Completo","3"," ","",""
"210","GRUPO 8","36","38","Completo","3"," ","",""
"211","GRUPO 8C","1","4","Completo","3","El contenido es completo","1",""
"212","GRUPO 8C","2","5","Completo","4"," ","",""
"213","GRUPO 8C","3","6","Completo","4","Si estableció documentación completa","1",""
"214","GRUPO 8C","4","7","Completo","3","Se pudo entender lo que se necesitaba pero no estaba completo","0",""
"215","GRUPO 8C","5","8","Completo","3"," ","",""
"216","GRUPO 8C","6","9","Completo","2"," ","",""
"217","GRUPO 8C","7","10","Completo","4","A opinión propia si lo estuvo lo que yo no sabría con exactitud","0",""
"218","GRUPO 8C","8","11","Completo","3","Tuvo todos los puntos","1",""
"219","GRUPO 8C","9","13","Completo","3","Faltaron las métricas","-1",""
"220","GRUPO 8C","10","14","Completo","4","Se entiende muy bien","1",""
"221","GRUPO 8C","11","16","Completo","2"," ","",""
"222","GRUPO 8C","12","17","Completo","3"," ","",""
"223","GRUPO 8C","13","18","Completo","0"," ","",""
"224","GRUPO 8C","14","19","Completo","2"," ","",""
"225","GRUPO 8C","15","20","Completo","3","Si,el contenido fue adecuado y entendible","1",""
"226","GRUPO 8C","16","23","Completo","3","Faltó más contenido","-1",""
"227","GRUPO 8C","17","24","Completo","3","Si , el contenido es completo y se pudo entender","1",""
"228","GRUPO 8C","18","26","Completo","2"," ","",""
"229","GRUPO 8C","19","27","Completo","3","Más o menos","0",""
"230","GRUPO 8C","20","28","Completo","3","Si se pudo entender y esta bien explicado","1",""
"231","GRUPO 8C","21","29","Completo","2"," ","",""
"232","GRUPO 8C","22","32","Completo","2"," ","",""
"233","GRUPO 10","1","4","Completo","0"," ","",""
"234","GRUPO 10","2","5","Completo","3"," ","",""
"235","GRUPO 10","3","6","Completo","4","Funciono el código","1",""
"236","GRUPO 10","4","7","Completo","3","Estaba completo, solo que, como tenía mucha palabra no se entendió.","0",""
"237","GRUPO 10","5","8","Completo","3"," ","",""
"238","GRUPO 10","6","9","Completo","2"," ","",""
"239","GRUPO 10","7","10","Completo","4"," ","",""
"240","GRUPO 10","8","11","Completo","4"," ","",""
"241","GRUPO 10","9","13","Completo","4","Explicaron de manera fluida los conceptos teóricos.","1",""
"242","GRUPO 10","10","14","Completo","3","El informe esta bien detallado.","1",""
"243","GRUPO 10","11","16","Completo","0"," ","",""
"244","GRUPO 10","12","17","Completo","3"," ","",""
"245","GRUPO 10","13","19","Completo","3"," ","",""
"246","GRUPO 10","14","20","Completo","2","Logró entenderse con claridad  la información.","1",""
"247","GRUPO 10","15","23","Completo","4","Estuvo la explicación muy clara.","1",""
"248","GRUPO 10","16","24","Completo","0"," ","",""
"249","GRUPO 10","17","25","Completo","3","Tienen su documentación.","1",""
"250","GRUPO 10","18","26","Completo","3"," ","",""
"251","GRUPO 10","19","28","Completo","4","Me pareció muy organizado.","1",""
"252","GRUPO 10","20","30","Completo","3","Contiene su documento y código, aunque falta más defensa.","0",""
"253","GRUPO 10","21","31","Completo","3"," ","",""
"254","GRUPO 10","22","32","Completo","3"," ","",""
"255","GRUPO 10","23","0","Completo","3"," ","",""
"256","GRUPO 11","1","0","Completo","0"," ","",""
"257","GRUPO 11","2","3","Completo","3"," ","",""
"258","GRUPO 11","3","4","Completo","4","Fue entendible","1",""
"259","GRUPO 11","4","3","Completo","2","En mi parte no estaba claro el informe, ya que existió muchas palabras irrelevantes.","-1",""
"260","GRUPO 11","5","3","Completo","3"," ","",""
"261","GRUPO 11","6","2","Completo","0"," ","",""
"262","GRUPO 11","7","4","Completo","4"," ","",""
"263","GRUPO 11","8","4","Completo","3"," ","",""
"264","GRUPO 11","9","4","Completo","4","Se evidenció en el código el resultado del funcionamiento.","1",""
"265","GRUPO 11","10","3","Completo","3","La expisición fue clara.","1",""
"266","GRUPO 11","11","0","Completo","2"," ","",""
"267","GRUPO 11","12","3","Completo","3"," ","",""
"268","GRUPO 11","13","3","Completo","3"," ","",""
"269","GRUPO 11","14","2","Completo","2","Sí, ellos trataron de dominar el tema.","1",""
"270","GRUPO 11","15","4","Completo","4","Estuvo muy clara la conclusión.","1",""
"271","GRUPO 11","16","0","Completo","0"," ","",""
"272","GRUPO 11","17","3","Completo","2","No es del todo comprensible.","-1",""
"273","GRUPO 11","18","3","Completo","2"," ","",""
"274","GRUPO 11","19","4","Completo","4","Sí está claro, se mostró el código y cómo funcionaba el laberinto.","1",""
"275","GRUPO 11","20","3","Completo","2","No está del todo comprendido","-1",""
"276","GRUPO 11","21","3","Completo","2"," ","",""
"277","GRUPO 11","22","3","Completo","3"," ","",""
"278","GRUPO 11","23","3","Completo","3"," ","",""
"279","GRUPO 12","1","1","Completo","3"," ","",""
"280","GRUPO 12","2","2","Completo","4","Su informe fue conciso y preciso en los procesos fundamentales a cumplir","1",""
"281","GRUPO 12","3","3","Completo","4","Tenían bastante contenido interesante y útil","1",""
"282","GRUPO 12","4","4","Completo","4"," ","",""
"283","GRUPO 12","5","5","Completo","4"," ","",""
"284","GRUPO 12","6","7","Completo","4","Claro y preciso","1",""
"285","GRUPO 12","7","8","Completo","3"," ","",""
"286","GRUPO 12","8","9","Completo","2"," ","",""
"287","GRUPO 12","9","10","Completo","4"," ","",""
"288","GRUPO 12","10","11","Completo","3","Le hizo falta lo ejecutable","-1",""
"289","GRUPO 12","11","13","Completo","4"," ","",""
"290","GRUPO 12","12","14","Completo","2","Contenido poco entendible","-1",""
"291","GRUPO 12","13","15","Completo","4"," ","",""
"292","GRUPO 12","14","16","Completo","3"," ","",""
"293","GRUPO 12","15","17","Completo","3"," ","",""
"294","GRUPO 12","16","19","Completo","3","Completo","1",""
"295","GRUPO 12","17","20","Completo","4"," ","",""
"296","GRUPO 12","18","21","Completo","2","Sí, pero lo explicaron muy largo, no lo resumieron","0",""
"297","GRUPO 12","19","22","Completo","3"," ","",""
"298","GRUPO 12","20","23","Completo","2","Complejo de entender","-1",""
"299","GRUPO 12","21","24","Completo","2","Estuvo complejo","-1",""
"300","GRUPO 12","22","26","Completo","3","EL contenido estuvo completo","1",""
"301","GRUPO 12","23","27","Completo","4"," ","",""
"302","GRUPO 12","24","28","Completo","4"," ","",""
"303","GRUPO 12","25","31","Completo","3","Hizo falta lo que es el ejecutable","-1",""
"304","GRUPO 12","26","35","Completo","4"," ","",""
"305","GRUPO 12","27","36","Completo","3"," ","",""
"306","GRUPO 12","28","37","Completo","4","El tema tratado fue claro","1",""
"307","GRUPO 12","29","21","Completo","4"," ","",""
"308","GRUPO 12","30","6","Completo","4"," ","",""
"309","GRUPO 12","31","22","Completo","2"," ","",""
"310","GRUPO 12","32","32","Completo","4"," ","",""
"311","GRUPO 12","33","30","Completo","3"," ","",""
"312","GRUPO 12","34","29","Completo","4"," ","",""
"313","GRUPO 12","35","33","Completo","3"," ","",""
"314","GRUPO 13","1","4","Completo","4","es completo","1",""
"315","GRUPO 13","2","5","Completo","1","no presentaron la demo","-1",""
"316","GRUPO 13","3","6","Completo","4"," ","",""
"317","GRUPO 13","4","7","Completo","3","era poco de entender","-1",""
"318","GRUPO 13","5","8","Completo","3"," ","",""
"319","GRUPO 13","6","9","Completo","1"," ","",""
"320","GRUPO 13","7","10","Completo","4","me gusto el contenido","1",""
"321","GRUPO 13","8","16","Completo","2"," ","",""
"322","GRUPO 13","9","17","Completo","3"," ","",""
"323","GRUPO 13","10","18","Completo","3","porque le falta el codigo","-1",""
"324","GRUPO 13","11","8","Completo","2"," ","",""
"325","GRUPO 13","12","20","Completo","2","no totamente, pero lograron derivar una introduccion","0",""
"326","GRUPO 13","13","24","Completo","3","muy bueno","1",""
"327","GRUPO 13","14","27","Completo","3","mas o menos","0",""
"328","GRUPO 13","15","29","Completo","2"," ","",""
"329","GRUPO 13","16","32","Completo","2"," ","",""
"330","GRUPO 13","17","31","Completo","2"," ","",""
"331","GRUPO 13","18","11","Completo","3"," ","",""
"332","GRUPO 13","19","28","Completo","2","falta poco de organización","-1",""
"333","GRUPO 13","20","25","Completo","2","escaco contenido","-1",""
"334","GRUPO 13","21","30","Completo","2","si se puede entender pero hubo poca explicacion","0",""
"335","GRUPO 13","22","0","Completo","0"," ","",""
"336","GRUPO 14","1","4","Completo","3","es completo","1",""
"337","GRUPO 14","2","5","Completo","3"," ","",""
"338","GRUPO 14","3","6","Completo","4"," ","",""
"339","GRUPO 14","4","8","Completo","1"," ","",""
"340","GRUPO 14","5","9","Completo","2"," ","",""
"341","GRUPO 14","6","13","Completo","3","fue comprensible el contenido","1",""
"342","GRUPO 14","7","14","Completo","4","la explicacion fue presisa","1",""
"343","GRUPO 14","8","16","Completo","2"," ","",""
"344","GRUPO 14","9","17","Completo","3"," ","",""
"345","GRUPO 14","10","18","Completo","0"," ","",""
"346","GRUPO 14","11","19","Completo","2"," ","",""
"347","GRUPO 14","12","23","Completo","4","explicacion clara","1",""
"348","GRUPO 14","13","24","Completo","3","el contenido esta completo","1",""
"349","GRUPO 14","14","26","Completo","2"," ","",""
"350","GRUPO 14","15","29","Completo","2"," ","",""
"351","GRUPO 14","16","32","Completo","2"," ","",""
"352","GRUPO 14","17","31","Completo","2"," ","",""
"353","GRUPO 14","18","30","Completo","2","solo hubo teoria, falto mas codigo explicar","-1",""
"354","GRUPO 14","19","11","Completo","4"," ","",""
"355","GRUPO 14","20","28","Completo","2","no estubo tan entendible falto mas claridad al momento de explicar","-1",""
"356","GRUPO 14","21","25","Completo","3","el contenido esta completo","1",""
"357","GRUPO 14","22","0","Completo","0"," ","",""
"358","GRUPO 15","1","1","Completo","4"," ","",""
"359","GRUPO 15","2","2","Completo","3","Contemplaron cada punto del tema del laberinto","1",""
"360","GRUPO 15","3","3","Completo","3","Comenzaron defendiendo muy bien lo planteado","1",""
"361","GRUPO 15","4","4","Completo","4"," ","",""
"362","GRUPO 15","5","5","Completo","3","El contenido le faltó un poco de contundencia","-1",""
"363","GRUPO 15","6","6","Completo","4"," ","",""
"364","GRUPO 15","7","7","Completo","3","Concepto claro y legible","1",""
"365","GRUPO 15","8","8","Completo","3"," ","",""
"366","GRUPO 15","9","9","Completo","2"," ","",""
"367","GRUPO 15","10","10","Completo","3"," ","",""
"368","GRUPO 15","11","11","Completo","3"," ","",""
"369","GRUPO 15","12","12","Completo","3"," ","",""
"370","GRUPO 15","13","13","Completo","4"," ","",""
"371","GRUPO 15","14","14","Completo","3","Su contenido completo","1",""
"372","GRUPO 15","15","15","Completo","3"," ","",""
"373","GRUPO 15","16","19","Completo","3"," ","",""
"374","GRUPO 15","17","20","Completo","4"," ","",""
"375","GRUPO 15","18","21","Completo","3"," ","",""
"376","GRUPO 15","19","22","Completo","2"," ","",""
"377","GRUPO 15","20","25","Completo","3","No mostraron en el compilador","-1",""
"378","GRUPO 15","21","26","Completo","3"," ","",""
"379","GRUPO 15","22","27","Completo","4"," ","",""
"380","GRUPO 15","23","28","Completo","3"," ","",""
"381","GRUPO 15","24","29","Completo","3"," ","",""
"382","GRUPO 15","25","30","Completo","3"," ","",""
"383","GRUPO 15","26","31","Completo","3"," ","",""
"384","GRUPO 15","27","32","Completo","4"," ","",""
"385","GRUPO 15","28","33","Completo","2"," ","",""
"386","GRUPO 15","29","34","Completo","3"," ","",""
"387","GRUPO 15","30","35","Completo","3"," ","",""
"388","GRUPO 15","31","36","Completo","3"," ","",""
"389","GRUPO 15","32","37","Completo","3","Falta mayor contenido sobre el tema al inicio","-1",""
"390","GRUPO 15","33","0","Completo","3","Completo","1",""
"391","GRUPO 15","34","0","Completo","4"," ","",""
"392","GRUPO 15","35","0","Completo","3"," ","",""
"393","GRUPO 15","36","0","Completo","0"," ","",""
"394","GRUPO 15","37","0","Completo","0"," ","",""
"395","GRUPO 16","1","1","Completo","3"," ","",""
"396","GRUPO 16","2","2","Completo","3","Su informe fue completo y conciso.","1",""
"397","GRUPO 16","3","3","Completo","3","Expresaron su proyecto de manera eficaz.","1",""
"398","GRUPO 16","4","4","Completo","3","No se completo pero cumple por ciertas normas","0",""
"399","GRUPO 16","5","5","Completo","3"," ","",""
"400","GRUPO 16","6","7","Completo","2","Algo incompleto","-1",""
"401","GRUPO 16","7","8","Completo","3"," ","",""
"402","GRUPO 16","8","9","Completo","2"," ","",""
"403","GRUPO 16","9","10","Completo","1"," ","",""
"404","GRUPO 16","10","11","Completo","3","Le falto aplicar el ejecutable","-1",""
"405","GRUPO 16","11","12","Completo","2"," ","",""
"406","GRUPO 16","12","13","Completo","2"," ","",""
"407","GRUPO 16","13","14","Completo","3"," ","",""
"408","GRUPO 16","14","15","Completo","3"," ","",""
"409","GRUPO 16","15","16","Completo","3"," ","",""
"410","GRUPO 16","16","17","Completo","3"," ","",""
"411","GRUPO 16","17","18","Completo","2"," ","",""
"412","GRUPO 16","18","20","Completo","4"," ","",""
"413","GRUPO 16","19","21","Completo","3"," ","",""
"414","GRUPO 16","20","22","Completo","4"," ","",""
"415","GRUPO 16","21","23","Completo","2","No se pudo entender debido a la calidad del compilador","-1",""
"416","GRUPO 16","22","24","Completo","3","Estuvo clara la informacion","1",""
"417","GRUPO 16","23","25","Completo","2","Texto excesivo para una presentacion","-1",""
"418","GRUPO 16","24","27","Completo","4"," ","",""
"419","GRUPO 16","25","28","Completo","3"," ","",""
"420","GRUPO 16","26","29","Completo","3"," ","",""
"421","GRUPO 16","27","30","Completo","2"," ","",""
"422","GRUPO 16","28","31","Completo","3"," ","",""
"423","GRUPO 16","29","32","Completo","2"," ","",""
"424","GRUPO 16","30","33","Completo","2"," ","",""
"425","GRUPO 16","31","34","Completo","2"," ","",""
"426","GRUPO 16","32","35","Completo","3"," ","",""
"427","GRUPO 16","33","36","Completo","3"," ","",""
"428","GRUPO 16","34","37","Completo","3","Poca informacion sobre el tema.","-1",""
"429","GRUPO 19","1","4","Completo","3","Completo y entendible","1",""
"430","GRUPO 19","2","6","Completo","3"," ","",""
"431","GRUPO 19","3","7","Completo","2","Se presentó casi completo pero además no fue fácil de entender","0",""
"432","GRUPO 19","4","10","Completo","3"," ","",""
"433","GRUPO 19","5","11","Completo","3","Faltó la demostración del programa funcionando","-1",""
